"Corn:  Estimated Inorganic Fertilizer Use by Geolocation, Grade and Year by PHILIPPINES, Area Harvested and Year"

"PHILIPPINES","Area Harvested","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Area Applied",20279.00,..,9586.00,12138.00,14482.00,52963.00,44201.00,47846.00,56051.00,57294.87,61639.00,56118.76
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Average Quantity Applied",5.46,..,2.89,4.22,6.04,4.89,4.45,4.57,4.43,5.31,4.81,6.20
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Urea",3.22,..,1.74,2.10,2.94,2.83,2.38,2.39,2.53,2.76,2.40,3.34
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ammosul",0.12,..,0.28,0.08,0.50,0.30,0.12,0.21,0.01,0.28,0.21,0.12
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ammophos",0.86,..,0.32,0.62,0.85,0.58,0.97,0.75,0.80,0.85,1.01,1.40
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Complete",1.03,..,0.55,1.40,1.64,1.13,0.95,1.21,1.08,1.42,1.19,1.34
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Others",0.23,..,..,0.01,0.11,0.06,0.02,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Area Harvested",31211.00,34961.00,42010.00,44838.00,50087.00,52698.00,55212.00,48991.00,56051.00,57289.50,61639.00,64832.00
"..REGION I (ILOCOS REGION)","Area Applied",51197.00,39321.00,55444.00,54993.00,68946.00,74460.00,70681.00,75317.00,77183.00,81775.20,84106.00,57220.00
"..REGION I (ILOCOS REGION)","Average Quantity Applied",6.67,6.52,6.98,6.97,6.51,6.58,6.28,5.78,6.91,8.45,6.79,7.99
"..REGION I (ILOCOS REGION)","Urea",4.06,3.49,4.59,4.44,3.61,3.25,3.57,3.34,4.33,5.17,4.07,4.55
"..REGION I (ILOCOS REGION)","Ammosul",0.26,0.87,0.56,0.50,0.13,1.01,0.63,0.73,0.73,0.39,0.36,0.64
"..REGION I (ILOCOS REGION)","Ammophos",0.06,0.07,0.18,0.10,0.31,0.06,0.05,0.05,0.06,0.01,0.01,0.01
"..REGION I (ILOCOS REGION)","Complete",2.30,2.09,1.56,1.92,2.16,2.09,2.03,1.66,1.80,2.88,2.35,2.80
"..REGION I (ILOCOS REGION)","Others",..,..,0.09,0.01,0.29,0.18,0.01,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Area Harvested",53837.00,56305.00,67298.00,68680.00,72115.00,74460.00,73153.00,75342.00,77183.00,82793.00,84106.00,87763.00
"..REGION II (CAGAYAN VALLEY)","Area Applied",227345.00,172335.00,219685.00,313493.00,308886.00,388888.00,413149.00,387901.00,422095.00,427882.66,416740.00,363013.07
"..REGION II (CAGAYAN VALLEY)","Average Quantity Applied",6.47,6.26,5.96,5.87,5.42,6.13,5.75,5.57,5.72,6.60,6.97,6.90
"..REGION II (CAGAYAN VALLEY)","Urea",3.28,2.76,2.91,1.86,2.97,3.03,3.03,3.04,3.15,3.50,3.44,3.90
"..REGION II (CAGAYAN VALLEY)","Ammosul",0.22,0.23,0.33,0.42,0.18,0.59,0.35,0.45,0.39,0.27,0.24,0.21
"..REGION II (CAGAYAN VALLEY)","Ammophos",1.26,1.92,1.05,1.40,0.90,1.18,0.99,1.15,1.14,1.38,1.52,1.84
"..REGION II (CAGAYAN VALLEY)","Complete",1.71,1.35,1.29,1.67,1.26,1.30,1.18,0.94,1.03,1.44,1.38,0.95
"..REGION II (CAGAYAN VALLEY)","Others",..,..,0.38,0.52,0.11,0.01,0.20,..,..,0.01,0.40,..
"..REGION II (CAGAYAN VALLEY)","Area Harvested",247142.00,316411.00,258180.00,361779.00,369159.00,390537.00,417121.00,364723.00,422095.00,432366.00,416740.00,437728.80
"..REGION III (CENTRAL LUZON)","Area Applied",32579.00,25452.00,43099.00,36246.00,43020.00,47993.00,43411.00,42915.00,38811.00,39538.91,44151.00,43796.73
"..REGION III (CENTRAL LUZON)","Average Quantity Applied",4.74,6.30,6.03,5.15,6.21,6.08,5.67,5.33,5.45,6.35,4.41,7.13
"..REGION III (CENTRAL LUZON)","Urea",1.94,2.05,2.80,2.25,2.45,2.07,2.64,2.42,2.48,3.22,2.40,3.78
"..REGION III (CENTRAL LUZON)","Ammosul",0.84,2.56,0.33,0.43,0.98,1.35,0.72,0.86,0.89,0.49,0.36,0.45
"..REGION III (CENTRAL LUZON)","Ammophos",0.03,0.06,0.15,0.17,0.39,0.17,0.35,0.26,0.21,0.10,0.12,0.17
"..REGION III (CENTRAL LUZON)","Complete",1.82,1.51,2.65,2.28,2.36,2.48,1.94,1.79,1.87,2.45,1.52,2.73
"..REGION III (CENTRAL LUZON)","Others",0.12,0.11,0.10,0.02,0.04,0.01,0.02,..,..,0.10,..,..
"..REGION III (CENTRAL LUZON)","Area Harvested",36823.00,36921.00,44500.00,41897.00,43935.00,48307.00,45749.00,42977.00,38836.00,40481.00,44151.00,43535.00
"..REGION IV-A (CALABARZON)","Area Applied",14039.00,525.00,22911.00,13179.00,4345.00,34409.00,40128.00,27429.00,31858.00,31454.00,33906.00,37878.03
"..REGION IV-A (CALABARZON)","Average Quantity Applied",4.56,2.55,0.72,7.15,5.90,2.34,2.37,3.01,4.11,3.85,4.61,4.28
"..REGION IV-A (CALABARZON)","Urea",1.60,2.55,0.50,3.24,2.38,1.45,1.56,1.63,1.70,1.80,2.18,2.55
"..REGION IV-A (CALABARZON)","Ammosul",2.67,..,0.19,2.96,2.89,0.66,0.18,0.08,0.07,0.20,0.65,0.15
"..REGION IV-A (CALABARZON)","Ammophos",0.16,..,..,..,..,0.05,0.01,0.04,0.04,0.03,0.02,0.08
"..REGION IV-A (CALABARZON)","Complete",0.13,..,0.02,0.89,0.54,0.15,0.61,1.27,2.31,1.82,1.75,1.51
"..REGION IV-A (CALABARZON)","Others",..,..,0.01,0.06,0.09,0.03,0.02,..,..,..,..,..
"..REGION IV-A (CALABARZON)","Area Harvested",36480.00,37298.00,36365.00,30583.00,32618.00,34451.00,35204.00,29687.00,31858.00,33080.00,33906.00,34518.00
"..MIMAROPA REGION","Area Applied",18051.00,2247.00,35.00,17777.00,9018.00,37824.00,28420.00,22343.00,26667.00,24498.10,28022.00,27356.59
"..MIMAROPA REGION","Average Quantity Applied",4.50,2.70,11.80,2.64,2.53,2.74,3.97,4.13,4.91,4.58,6.50,5.88
"..MIMAROPA REGION","Urea",3.13,1.85,..,0.81,1.93,1.63,2.58,2.50,3.20,1.99,3.79,4.02
"..MIMAROPA REGION","Ammosul",1.05,..,8.00,0.01,0.03,0.35,0.02,..,..,0.01,0.03,0.07
"..MIMAROPA REGION","Ammophos",0.07,..,..,..,..,0.11,0.01,0.03,0.06,0.85,0.28,0.12
"..MIMAROPA REGION","Complete",0.25,0.85,3.80,1.81,0.57,0.65,1.37,1.60,1.66,1.73,2.40,1.68
"..MIMAROPA REGION","Others",..,..,..,..,..,..,..,..,..,..,..,..
"..MIMAROPA REGION","Area Harvested",28266.00,29729.00,36407.00,38375.00,38834.00,38111.00,31367.00,22984.00,26463.00,24496.00,28022.00,29135.00
"..REGION V (BICOL REGION)","Area Applied",29634.00,9135.00,5193.00,28589.00,29918.00,98352.00,96716.00,92187.00,108243.00,112816.53,109582.00,91671.78
"..REGION V (BICOL REGION)","Average Quantity Applied",3.26,3.71,5.65,5.37,5.20,2.47,2.59,2.60,3.08,2.74,3.82,3.98
"..REGION V (BICOL REGION)","Urea",1.50,1.54,2.50,2.23,2.15,0.95,1.27,1.27,1.54,1.29,1.60,1.89
"..REGION V (BICOL REGION)","Ammosul",0.22,0.33,0.81,0.12,0.05,0.08,0.08,0.17,0.11,0.11,0.13,0.10
"..REGION V (BICOL REGION)","Ammophos",0.16,..,0.42,0.01,0.02,0.31,0.37,0.32,0.53,0.31,0.42,0.13
"..REGION V (BICOL REGION)","Complete",1.35,1.42,1.92,2.81,2.74,1.10,0.80,0.84,0.88,1.02,1.42,1.85
"..REGION V (BICOL REGION)","Others",0.03,0.41,..,0.20,0.25,0.02,0.06,..,0.02,0.01,0.25,..
"..REGION V (BICOL REGION)","Area Harvested",81762.00,81068.00,80237.00,80789.00,89513.00,100274.00,106715.00,101812.00,108243.00,112964.00,109582.00,113596.00
"..REGION VI (WESTERN VISAYAS)","Area Applied",73144.00,35534.00,22753.00,16182.00,22776.00,141765.00,119668.84,111294.00,122216.00,120657.72,123946.00,97913.23
"..REGION VI (WESTERN VISAYAS)","Average Quantity Applied",6.62,6.65,9.68,9.68,8.23,11.25,4.51,4.21,4.18,4.17,3.07,5.20
"..REGION VI (WESTERN VISAYAS)","Urea",1.22,1.43,1.86,1.99,2.32,1.38,1.51,1.58,1.57,1.53,0.72,1.54
"..REGION VI (WESTERN VISAYAS)","Ammosul",0.42,0.43,1.07,1.87,1.71,1.22,0.95,0.61,0.63,0.51,0.21,0.31
"..REGION VI (WESTERN VISAYAS)","Ammophos",0.99,0.71,0.85,0.13,1.64,1.10,0.74,0.58,0.57,0.90,1.22,1.25
"..REGION VI (WESTERN VISAYAS)","Complete",0.77,0.79,1.03,0.76,1.43,1.86,1.30,1.39,1.35,1.20,0.87,2.10
"..REGION VI (WESTERN VISAYAS)","Others",0.01,..,0.04,..,1.12,0.03,0.02,0.05,0.06,0.02,0.05,0.01
"..REGION VI (WESTERN VISAYAS)","Area Harvested",81827.00,88700.00,107030.00,120400.00,130949.00,142448.00,125769.00,112502.00,122216.00,122569.00,123946.00,124312.00
"..REGION VII (CENTRAL VISAYAS)","Area Applied",165484.00,171813.00,162089.00,138054.00,161113.00,143263.00,143797.00,173425.00,212438.00,205543.10,197612.00,183078.44
"..REGION VII (CENTRAL VISAYAS)","Average Quantity Applied",3.59,3.24,3.60,4.60,3.76,2.51,3.03,2.88,2.61,2.73,2.44,2.72
"..REGION VII (CENTRAL VISAYAS)","Urea",0.93,0.82,0.97,1.95,1.44,0.73,0.66,0.65,0.63,0.76,0.55,0.66
"..REGION VII (CENTRAL VISAYAS)","Ammosul",0.73,0.74,0.60,0.53,0.34,0.67,0.86,0.75,0.65,0.65,0.60,0.59
"..REGION VII (CENTRAL VISAYAS)","Ammophos",0.23,0.13,0.14,0.65,0.22,0.39,0.27,0.59,0.59,0.38,0.19,0.21
"..REGION VII (CENTRAL VISAYAS)","Complete",0.97,1.01,0.94,1.07,1.23,0.72,0.85,0.89,0.74,0.94,1.08,1.26
"..REGION VII (CENTRAL VISAYAS)","Others",0.74,0.54,0.95,0.40,0.53,..,0.39,..,..,..,0.01,..
"..REGION VII (CENTRAL VISAYAS)","Area Harvested",244699.00,244259.00,246463.00,239745.00,248902.00,236248.00,231473.00,215980.00,212438.00,206270.00,197941.00,193089.00
"..REGION VIII (EASTERN VISAYAS)","Area Applied",22789.00,21113.00,8917.00,20938.00,14196.00,60810.00,33773.00,60578.00,60950.00,61473.00,61722.00,36007.67
"..REGION VIII (EASTERN VISAYAS)","Average Quantity Applied",1.61,1.52,1.04,2.01,1.71,2.62,2.64,2.61,1.71,2.43,2.28,2.29
"..REGION VIII (EASTERN VISAYAS)","Urea",0.85,0.78,0.38,0.85,0.89,1.26,1.20,1.14,0.99,1.09,1.10,1.09
"..REGION VIII (EASTERN VISAYAS)","Ammosul",0.01,0.04,0.04,0.19,0.25,0.29,0.42,0.37,0.18,0.23,0.28,0.34
"..REGION VIII (EASTERN VISAYAS)","Ammophos",0.01,0.03,0.04,0.16,0.15,0.04,0.15,0.22,0.17,0.16,0.13,0.19
"..REGION VIII (EASTERN VISAYAS)","Complete",0.74,0.67,0.30,0.82,0.42,1.03,0.86,0.88,0.37,0.95,0.74,0.67
"..REGION VIII (EASTERN VISAYAS)","Others",..,..,0.28,..,..,..,..,..,..,..,0.02,..
"..REGION VIII (EASTERN VISAYAS)","Area Harvested",56969.00,56858.00,58589.00,59175.00,63145.00,65756.00,68463.00,64672.00,60950.00,61699.00,61722.00,60752.00
"..REGION IX (ZAMBOANGA PENINSULA)","Area Applied",153446.00,142883.00,132641.00,133004.00,128999.00,121644.00,122322.00,117185.00,131525.00,132359.00,125949.00,223807.51
"..REGION IX (ZAMBOANGA PENINSULA)","Average Quantity Applied",1.89,2.16,2.67,4.00,2.86,2.59,2.26,2.24,3.13,3.12,4.59,4.18
"..REGION IX (ZAMBOANGA PENINSULA)","Urea",0.68,0.85,0.87,1.64,1.16,0.80,0.64,0.63,0.74,0.79,1.28,1.68
"..REGION IX (ZAMBOANGA PENINSULA)","Ammosul",0.28,0.40,0.39,0.75,0.46,0.32,0.38,0.34,0.28,0.56,0.57,0.55
"..REGION IX (ZAMBOANGA PENINSULA)","Ammophos",0.60,0.58,0.93,1.02,0.58,1.01,0.70,0.68,1.28,1.02,1.32,1.44
"..REGION IX (ZAMBOANGA PENINSULA)","Complete",0.33,0.31,0.41,0.54,0.63,0.43,0.48,0.59,0.83,0.74,0.64,0.51
"..REGION IX (ZAMBOANGA PENINSULA)","Others",..,0.02,0.07,0.06,0.02,0.03,0.06,..,..,..,0.79,..
"..REGION IX (ZAMBOANGA PENINSULA)","Area Harvested",184992.00,183005.00,163365.00,160386.00,154101.00,129061.00,135850.00,142559.00,132407.00,134979.00,125949.00,130116.00
"..REGION X (NORTHERN MINDANAO)","Area Applied",348798.00,327315.00,327010.00,287768.00,353257.00,381373.00,313611.00,327538.00,364059.00,375655.28,372565.00,245332.99
"..REGION X (NORTHERN MINDANAO)","Average Quantity Applied",5.45,6.01,3.90,4.88,5.64,5.59,5.17,5.29,5.59,6.07,4.89,5.88
"..REGION X (NORTHERN MINDANAO)","Urea",2.08,2.26,1.17,1.65,2.06,2.17,1.82,2.34,2.47,2.61,1.88,2.65
"..REGION X (NORTHERN MINDANAO)","Ammosul",0.58,0.65,0.53,1.04,0.69,0.67,0.87,0.48,0.52,0.48,0.39,0.83
"..REGION X (NORTHERN MINDANAO)","Ammophos",1.22,1.53,0.94,1.25,1.56,1.37,1.24,0.91,1.06,1.00,0.77,1.09
"..REGION X (NORTHERN MINDANAO)","Complete",1.28,1.09,0.97,0.86,1.19,1.37,1.20,1.56,1.54,1.98,1.57,1.31
"..REGION X (NORTHERN MINDANAO)","Others",0.28,0.49,0.29,0.09,0.13,0.01,0.04,..,0.01,..,0.27,..
"..REGION X (NORTHERN MINDANAO)","Area Harvested",377276.00,393149.00,381499.00,378273.00,369839.00,383695.00,381373.00,365955.00,364059.00,376800.00,372565.00,374646.00
"..REGION XI (DAVAO REGION)","Area Applied",124081.00,66287.00,71548.00,81590.00,89887.00,149624.00,104645.00,104828.00,149081.00,145154.94,159378.00,104408.79
"..REGION XI (DAVAO REGION)","Average Quantity Applied",2.25,2.34,2.46,3.34,3.08,2.71,2.98,2.98,1.69,2.32,2.01,2.31
"..REGION XI (DAVAO REGION)","Urea",1.03,1.16,1.14,1.40,1.35,1.06,1.43,1.36,0.73,1.08,1.02,1.17
"..REGION XI (DAVAO REGION)","Ammosul",0.34,0.34,0.29,0.50,0.38,0.39,0.38,0.43,0.49,0.52,0.25,0.31
"..REGION XI (DAVAO REGION)","Ammophos",0.12,0.08,0.17,0.27,0.27,0.28,0.24,0.28,0.06,0.06,0.07,0.07
"..REGION XI (DAVAO REGION)","Complete",0.76,0.76,0.87,1.17,1.03,0.94,0.91,0.89,0.41,0.65,0.65,0.76
"..REGION XI (DAVAO REGION)","Others",..,..,..,0.01,0.04,0.04,0.02,0.01,..,..,0.02,..
"..REGION XI (DAVAO REGION)","Area Harvested",195783.00,203420.00,200409.00,204304.00,196848.00,188362.00,174674.00,153282.00,149081.00,146077.00,159378.00,169306.00
"..REGION XII (SOCCSKSARGEN)","Area Applied",390437.00,331135.00,363001.00,346100.00,482566.00,428419.00,340494.00,323791.00,427050.00,422173.29,430007.00,286618.68
"..REGION XII (SOCCSKSARGEN)","Average Quantity Applied",5.16,5.72,5.20,5.50,4.26,4.50,4.09,4.22,4.26,5.02,3.41,4.60
"..REGION XII (SOCCSKSARGEN)","Urea",2.59,2.86,2.32,2.86,2.20,2.19,1.98,1.84,2.46,2.41,1.68,2.35
"..REGION XII (SOCCSKSARGEN)","Ammosul",0.16,0.21,0.32,0.50,0.29,0.30,0.39,0.69,0.40,0.59,0.31,0.38
"..REGION XII (SOCCSKSARGEN)","Ammophos",0.87,0.74,1.09,0.62,0.68,0.83,0.63,0.34,0.53,0.67,0.33,0.48
"..REGION XII (SOCCSKSARGEN)","Complete",1.54,1.90,1.45,1.37,1.07,1.10,1.07,1.35,0.84,1.17,1.08,1.38
"..REGION XII (SOCCSKSARGEN)","Others",0.01,0.02,0.03,0.14,0.02,0.08,0.02,..,0.04,0.18,0.01,..
"..REGION XII (SOCCSKSARGEN)","Area Harvested",421326.00,418019.00,398343.00,419039.00,418594.00,430221.00,430182.00,405644.00,427050.00,429319.00,430007.00,428556.00
"..REGION XIII (CARAGA)","Area Applied",27908.00,31019.00,34095.00,21890.00,29776.00,45530.00,21824.00,31768.86,31554.00,33556.36,38017.00,50324.62
"..REGION XIII (CARAGA)","Average Quantity Applied",3.35,3.39,2.27,2.36,3.45,2.69,2.93,3.03,3.25,3.37,3.30,4.45
"..REGION XIII (CARAGA)","Urea",1.56,1.71,0.93,1.05,1.32,0.99,1.71,1.71,1.79,1.80,1.38,2.29
"..REGION XIII (CARAGA)","Ammosul",0.47,0.28,0.24,0.24,0.62,0.10,0.46,0.69,0.84,0.67,0.80,1.24
"..REGION XIII (CARAGA)","Ammophos",0.22,0.31,0.11,0.07,0.16,0.45,0.10,0.04,0.03,0.06,0.13,0.10
"..REGION XIII (CARAGA)","Complete",0.98,1.05,0.73,0.99,1.35,1.16,0.64,0.60,0.59,0.84,0.83,0.82
"..REGION XIII (CARAGA)","Others",0.12,0.04,0.25,0.01,..,..,0.01,..,..,..,0.16,..
"..REGION XIII (CARAGA)","Area Harvested",49839.00,57055.00,55765.00,44869.00,57514.00,50470.00,39520.00,39601.00,31554.00,33830.00,38017.00,41957.00
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Area Applied",223975.00,81688.00,32404.00,95671.00,149587.00,293350.00,236222.00,301239.00,284134.00,298505.93,275964.00,145196.62
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Average Quantity Applied",4.02,1.46,4.41,3.48,4.11,2.55,2.51,2.31,2.73,2.71,2.74,2.62
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Urea",1.05,0.88,2.63,1.80,1.78,1.17,1.25,1.12,1.19,1.19,1.20,1.00
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Ammosul",1.16,0.18,0.25,0.10,0.19,0.14,0.18,0.26,0.36,0.35,0.35,0.32
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Ammophos",0.97,0.18,0.40,0.37,0.14,0.11,0.22,0.16,0.25,0.24,0.23,0.01
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Complete",0.82,0.22,1.14,1.21,2.00,1.13,0.86,0.78,0.93,0.93,0.94,1.29
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Others",0.02,0.01,..,..,..,..,..,..,..,..,..,..
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Area Harvested",281596.00,289977.00,265328.00,277541.00,312164.00,295922.00,332065.00,312329.00,284128.00,298812.00,275964.00,277590.00
