"Palay:  Estimated Inorganic Fertilizer Use by Geolocation, Grade and Year by PHILIPPINES, Area Harvested and Year"

"PHILIPPINES","Area Harvested","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Area Applied",64086.29,75510.00,78230.00,87032.00,91887.00,121561.00,85245.00,87071.22,76220.50,108711.62,96310.88,95614.65
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Average Quantity Applied",4.56,4.56,4.73,4.68,4.32,3.67,4.69,5.20,4.99,4.87,5.14,5.83
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Urea",2.57,2.49,2.56,2.77,2.51,2.40,3.11,3.41,3.15,2.78,3.00,3.36
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ammosul",0.28,0.32,0.36,0.41,0.36,0.17,0.10,0.24,0.06,0.15,0.21,0.23
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ammophos",0.49,0.51,0.51,0.63,0.50,0.29,0.24,0.25,0.43,0.39,0.38,0.52
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Complete",1.12,1.19,1.25,0.82,0.89,0.78,1.24,1.30,1.36,1.54,1.56,1.72
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Others",0.10,0.05,0.05,0.05,0.05,0.03,..,..,..,0.01,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Area Harvested",94431.00,100171.00,99375.00,104021.00,118135.00,119816.00,119368.00,117057.00,118779.00,120100.00,119919.00,118476.40
"..REGION I (ILOCOS REGION)","Area Applied",352232.00,361618.56,359553.00,375854.00,373574.00,386565.00,386048.00,393371.00,366676.12,403238.03,399829.76,412183.00
"..REGION I (ILOCOS REGION)","Average Quantity Applied",5.84,6.15,6.04,6.52,6.76,5.55,6.15,5.94,6.21,6.62,6.23,6.49
"..REGION I (ILOCOS REGION)","Urea",2.84,3.04,3.02,2.89,3.34,3.03,3.48,3.17,3.06,3.06,2.95,3.05
"..REGION I (ILOCOS REGION)","Ammosul",0.39,0.60,0.33,0.55,0.66,0.47,0.41,0.47,0.65,0.86,0.64,0.62
"..REGION I (ILOCOS REGION)","Ammophos",0.33,0.30,0.34,0.33,0.29,0.26,0.24,0.33,0.61,0.27,0.37,0.25
"..REGION I (ILOCOS REGION)","Complete",2.21,2.19,2.22,2.70,2.39,1.77,2.02,1.97,1.89,2.42,2.28,2.57
"..REGION I (ILOCOS REGION)","Others",0.08,0.02,0.13,0.05,0.09,0.02,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Area Harvested",354360.00,363045.00,362155.00,376426.00,377361.00,388763.00,389339.00,394110.00,392417.00,403169.00,406813.00,412419.00
"..REGION II (CAGAYAN VALLEY)","Area Applied",441565.03,480350.46,464062.62,496748.00,498787.00,534792.00,532618.00,515943.12,550513.00,598870.21,575485.00,624357.41
"..REGION II (CAGAYAN VALLEY)","Average Quantity Applied",4.76,5.07,5.45,5.24,5.49,5.25,5.46,5.32,5.99,5.49,5.85,5.66
"..REGION II (CAGAYAN VALLEY)","Urea",2.53,2.37,2.49,2.45,2.58,2.63,2.91,2.77,3.20,2.57,2.73,3.00
"..REGION II (CAGAYAN VALLEY)","Ammosul",0.18,0.18,0.29,0.31,0.36,0.40,0.40,0.48,0.45,0.46,0.67,0.50
"..REGION II (CAGAYAN VALLEY)","Ammophos",0.82,1.04,0.98,1.32,1.44,0.92,0.75,0.72,1.06,1.00,0.95,0.79
"..REGION II (CAGAYAN VALLEY)","Complete",1.21,1.41,1.44,1.06,1.04,1.19,1.40,1.34,1.28,1.46,1.49,1.36
"..REGION II (CAGAYAN VALLEY)","Others",0.03,0.06,0.26,0.09,0.07,0.12,..,..,..,..,..,..
"..REGION II (CAGAYAN VALLEY)","Area Harvested",450379.00,488595.00,473972.00,503593.00,501943.00,536916.00,533315.00,506351.00,562806.00,582456.00,585285.00,591659.76
"..REGION III (CENTRAL LUZON)","Area Applied",566149.00,564507.07,564137.00,592240.00,640913.00,649324.00,663295.00,678888.00,609875.00,675237.00,697425.78,720849.02
"..REGION III (CENTRAL LUZON)","Average Quantity Applied",6.11,6.50,5.80,6.12,5.41,5.42,6.11,6.31,6.07,6.37,5.75,6.97
"..REGION III (CENTRAL LUZON)","Urea",2.47,2.31,2.31,2.28,1.98,2.01,2.35,2.46,2.29,2.43,2.39,2.71
"..REGION III (CENTRAL LUZON)","Ammosul",0.35,0.38,0.32,0.41,0.56,0.69,0.51,0.53,0.36,0.40,0.34,0.49
"..REGION III (CENTRAL LUZON)","Ammophos",0.87,1.04,0.92,1.00,0.69,0.72,0.98,1.00,0.94,0.96,0.71,0.81
"..REGION III (CENTRAL LUZON)","Complete",2.33,2.67,2.14,2.33,2.05,1.98,2.27,2.32,2.48,2.57,2.30,2.96
"..REGION III (CENTRAL LUZON)","Others",0.09,0.10,0.11,0.11,0.12,0.02,..,..,..,..,..,..
"..REGION III (CENTRAL LUZON)","Area Harvested",569729.00,565752.00,571020.00,593033.00,640913.00,666309.00,664121.00,681901.00,616887.00,675781.00,710817.00,717191.00
"..REGION IV-A (CALABARZON)","Area Applied",114245.00,101792.00,92293.00,90668.00,87073.00,98724.00,91376.00,91490.00,96940.00,108744.39,109607.00,108319.60
"..REGION IV-A (CALABARZON)","Average Quantity Applied",3.70,4.26,3.96,4.01,4.52,4.27,3.65,3.74,3.94,3.69,3.90,3.96
"..REGION IV-A (CALABARZON)","Urea",2.24,2.44,2.48,2.29,2.19,2.11,2.44,2.49,2.32,2.34,2.46,2.52
"..REGION IV-A (CALABARZON)","Ammosul",0.29,0.30,0.31,0.83,0.62,0.86,0.10,0.13,0.11,0.14,0.16,0.11
"..REGION IV-A (CALABARZON)","Ammophos",0.27,0.45,0.47,0.07,0.13,0.17,0.13,0.17,0.19,0.19,0.13,0.17
"..REGION IV-A (CALABARZON)","Complete",0.88,0.83,0.70,0.77,1.58,1.13,0.97,0.95,1.32,1.02,1.15,1.15
"..REGION IV-A (CALABARZON)","Others",0.02,0.23,..,0.05,0.01,..,..,..,..,..,..,..
"..REGION IV-A (CALABARZON)","Area Harvested",123062.00,121023.00,110236.00,104031.00,104714.00,112120.00,107038.00,104124.00,114186.00,113010.00,115518.00,116568.00
"..MIMAROPA REGION","Area Applied",230516.00,205500.48,203271.76,232626.00,231433.00,225841.00,260421.00,231526.00,256581.00,277794.00,278890.00,268143.00
"..MIMAROPA REGION","Average Quantity Applied",3.52,3.79,3.97,5.23,5.07,3.88,4.96,4.17,4.88,5.08,5.00,5.22
"..MIMAROPA REGION","Urea",1.77,1.81,1.78,1.96,2.06,1.63,2.37,2.05,2.43,2.51,2.26,2.33
"..MIMAROPA REGION","Ammosul",0.27,0.39,0.39,0.40,0.44,0.42,0.49,0.35,0.35,0.38,0.40,0.38
"..MIMAROPA REGION","Ammophos",0.23,0.30,0.32,0.85,0.67,0.22,0.44,0.36,0.40,0.33,0.50,0.54
"..MIMAROPA REGION","Complete",1.23,1.27,1.45,1.96,1.75,1.60,1.66,1.41,1.70,1.86,1.84,1.97
"..MIMAROPA REGION","Others",0.02,0.02,0.03,0.06,0.14,..,..,..,..,..,..,..
"..MIMAROPA REGION","Area Harvested",254675.00,242619.00,230807.00,238395.00,247803.00,254403.00,271901.00,262384.00,270751.00,280748.00,282956.00,280920.00
"..REGION V (BICOL REGION)","Area Applied",223739.00,242208.89,247781.21,243614.00,238009.00,270417.00,281663.00,284830.00,309117.00,333550.00,303102.69,317899.38
"..REGION V (BICOL REGION)","Average Quantity Applied",3.62,3.68,3.60,3.01,3.38,3.08,3.46,3.17,2.99,3.45,3.44,3.55
"..REGION V (BICOL REGION)","Urea",1.88,1.97,1.89,1.59,1.81,1.70,1.88,1.74,1.58,1.69,1.67,1.70
"..REGION V (BICOL REGION)","Ammosul",0.10,0.09,0.15,0.10,0.16,0.13,0.04,0.08,0.05,0.10,0.01,0.01
"..REGION V (BICOL REGION)","Ammophos",0.21,0.27,0.37,0.15,0.15,0.22,0.31,0.23,0.27,0.27,0.29,0.32
"..REGION V (BICOL REGION)","Complete",1.30,1.28,1.07,1.13,1.21,1.02,1.23,1.12,1.08,1.39,1.47,1.53
"..REGION V (BICOL REGION)","Others",0.14,0.06,0.11,0.04,0.05,..,..,..,..,..,..,..
"..REGION V (BICOL REGION)","Area Harvested",277136.00,300430.00,304549.00,281483.00,286374.00,290718.00,313602.00,316804.00,318361.00,334275.00,343199.00,329573.00
"..REGION VI (WESTERN VISAYAS)","Area Applied",567884.00,589686.08,571012.63,590138.79,587209.00,549672.00,651435.00,536933.00,646254.00,632124.00,606930.05,616654.00
"..REGION VI (WESTERN VISAYAS)","Average Quantity Applied",4.45,4.54,4.39,4.39,4.40,3.71,4.14,4.01,4.31,4.30,4.69,4.73
"..REGION VI (WESTERN VISAYAS)","Urea",1.64,1.70,1.69,1.65,1.54,1.38,1.80,1.65,1.72,1.69,1.89,1.77
"..REGION VI (WESTERN VISAYAS)","Ammosul",0.64,0.59,0.61,0.55,0.59,0.70,0.55,0.57,0.70,0.52,0.80,1.00
"..REGION VI (WESTERN VISAYAS)","Ammophos",0.86,0.93,0.87,1.01,1.00,0.61,0.87,0.63,0.55,0.57,0.54,0.60
"..REGION VI (WESTERN VISAYAS)","Complete",1.14,1.17,1.08,1.10,1.18,0.94,0.92,1.16,1.34,1.52,1.47,1.36
"..REGION VI (WESTERN VISAYAS)","Others",0.16,0.15,0.14,0.08,0.09,0.08,..,..,..,..,..,..
"..REGION VI (WESTERN VISAYAS)","Area Harvested",578171.00,602493.00,587120.00,611135.00,601595.00,646197.00,669306.00,541253.00,654185.00,668810.00,616273.00,618727.00
"..REGION VII (CENTRAL VISAYAS)","Area Applied",74799.00,83230.15,74422.17,94240.00,80278.00,100713.00,95372.00,93862.00,99580.00,104850.00,104293.00,102948.00
"..REGION VII (CENTRAL VISAYAS)","Average Quantity Applied",4.12,2.67,3.73,3.35,3.84,3.72,3.67,3.63,4.05,3.92,4.13,5.00
"..REGION VII (CENTRAL VISAYAS)","Urea",1.19,1.08,1.11,1.00,1.17,1.08,1.39,1.19,1.39,1.34,1.33,1.62
"..REGION VII (CENTRAL VISAYAS)","Ammosul",0.11,0.08,0.10,0.02,0.01,0.06,0.06,0.09,0.14,0.19,0.13,0.18
"..REGION VII (CENTRAL VISAYAS)","Ammophos",0.36,0.24,0.20,0.32,0.36,0.15,0.33,0.31,0.25,0.21,0.20,0.27
"..REGION VII (CENTRAL VISAYAS)","Complete",2.36,1.24,2.30,1.94,2.30,2.28,1.89,2.04,2.28,2.18,2.47,2.93
"..REGION VII (CENTRAL VISAYAS)","Others",0.11,0.03,0.02,0.08,0.00,0.16,..,..,..,..,..,..
"..REGION VII (CENTRAL VISAYAS)","Area Harvested",79898.00,89436.00,81850.00,99484.00,97507.00,105154.00,102927.00,101875.00,106824.00,105797.00,106191.00,104288.00
"..REGION VIII (EASTERN VISAYAS)","Area Applied",146760.00,162968.69,125743.51,166833.00,195783.00,266777.00,218740.00,190655.00,232780.00,229927.80,211862.94,187840.36
"..REGION VIII (EASTERN VISAYAS)","Average Quantity Applied",2.61,2.94,3.27,2.95,3.12,2.16,1.94,2.54,2.18,2.94,2.63,2.28
"..REGION VIII (EASTERN VISAYAS)","Urea",1.23,1.48,1.44,1.56,1.68,1.13,0.94,1.20,0.97,1.36,1.25,1.10
"..REGION VIII (EASTERN VISAYAS)","Ammosul",0.06,0.07,0.23,0.15,0.10,0.04,0.06,0.13,0.08,0.10,0.09,0.10
"..REGION VIII (EASTERN VISAYAS)","Ammophos",0.24,0.26,0.62,0.22,0.15,0.09,0.10,0.32,0.16,0.25,0.25,0.24
"..REGION VIII (EASTERN VISAYAS)","Complete",1.06,1.13,0.98,0.99,1.13,0.89,0.84,0.90,0.97,1.23,1.05,0.85
"..REGION VIII (EASTERN VISAYAS)","Others",0.01,0.00,..,0.02,0.05,..,..,..,..,..,..,..
"..REGION VIII (EASTERN VISAYAS)","Area Harvested",228521.00,229353.00,230141.00,233221.00,260386.00,276573.00,272611.00,275691.00,284933.00,285394.00,282153.00,283020.00
"..REGION IX (ZAMBOANGA PENINSULA)","Area Applied",142313.00,140966.26,136280.79,120139.00,127215.00,132995.00,129760.00,137125.00,144375.38,156403.25,153645.40,161714.73
"..REGION IX (ZAMBOANGA PENINSULA)","Average Quantity Applied",4.06,3.84,3.25,3.87,3.72,3.04,3.54,3.15,3.26,3.51,3.45,3.61
"..REGION IX (ZAMBOANGA PENINSULA)","Urea",1.32,1.32,1.29,1.18,1.49,1.05,1.28,1.19,1.18,1.34,1.41,1.47
"..REGION IX (ZAMBOANGA PENINSULA)","Ammosul",0.52,0.36,0.44,0.48,0.56,0.55,0.42,0.55,0.59,0.70,0.50,0.54
"..REGION IX (ZAMBOANGA PENINSULA)","Ammophos",0.85,0.78,0.60,0.77,0.45,0.59,0.73,0.69,0.70,0.62,0.71,0.74
"..REGION IX (ZAMBOANGA PENINSULA)","Complete",1.21,1.27,0.80,1.21,1.10,0.85,1.10,0.73,0.79,0.85,0.83,0.86
"..REGION IX (ZAMBOANGA PENINSULA)","Others",0.15,0.11,0.11,0.23,0.13,..,..,..,..,..,..,..
"..REGION IX (ZAMBOANGA PENINSULA)","Area Harvested",155120.00,156402.00,158585.00,141177.00,148278.00,145314.00,153743.00,145070.00,158424.00,157888.00,161721.00,163096.00
"..REGION X (NORTHERN MINDANAO)","Area Applied",133226.00,124368.14,119868.42,120198.00,127160.00,134341.00,132354.00,148590.00,146237.00,153257.50,156666.00,154603.09
"..REGION X (NORTHERN MINDANAO)","Average Quantity Applied",5.10,4.94,5.01,4.92,5.01,4.69,3.77,4.59,5.25,4.88,4.82,5.12
"..REGION X (NORTHERN MINDANAO)","Urea",1.77,1.58,1.64,1.32,1.49,1.18,1.25,1.39,2.03,1.69,1.73,1.91
"..REGION X (NORTHERN MINDANAO)","Ammosul",1.30,1.34,1.20,1.44,1.30,1.56,1.30,1.59,1.53,1.41,1.44,1.41
"..REGION X (NORTHERN MINDANAO)","Ammophos",0.66,0.70,0.89,0.86,0.96,0.95,0.50,0.52,0.61,0.75,0.70,0.73
"..REGION X (NORTHERN MINDANAO)","Complete",1.15,1.16,1.11,0.96,1.07,0.97,0.72,1.10,1.09,1.03,0.95,1.06
"..REGION X (NORTHERN MINDANAO)","Others",0.22,0.16,0.16,0.35,0.18,0.03,..,..,..,..,..,..
"..REGION X (NORTHERN MINDANAO)","Area Harvested",135466.00,129934.00,124871.00,122492.00,129249.00,137276.00,147270.00,143324.00,152410.00,154712.00,158338.00,161414.00
"..REGION XI (DAVAO REGION)","Area Applied",109536.06,103407.10,105276.95,103263.00,94937.00,93633.00,89861.00,95413.00,98431.00,102988.00,135537.17,101494.00
"..REGION XI (DAVAO REGION)","Average Quantity Applied",4.55,4.47,4.88,5.35,4.80,4.70,4.82,4.58,4.52,4.35,5.08,4.74
"..REGION XI (DAVAO REGION)","Urea",1.97,1.76,2.06,2.11,1.95,1.72,2.12,2.24,1.99,1.88,2.19,1.89
"..REGION XI (DAVAO REGION)","Ammosul",0.89,0.98,1.08,1.18,0.93,0.91,1.07,0.96,1.14,0.94,0.98,1.06
"..REGION XI (DAVAO REGION)","Ammophos",0.56,0.54,0.58,0.65,0.48,0.32,0.37,0.25,0.34,0.28,0.28,0.17
"..REGION XI (DAVAO REGION)","Complete",1.04,1.00,1.06,1.26,1.24,0.99,1.25,1.13,1.05,1.26,1.63,1.62
"..REGION XI (DAVAO REGION)","Others",0.10,0.18,0.10,0.15,0.19,0.76,..,..,..,..,..,..
"..REGION XI (DAVAO REGION)","Area Harvested",113777.00,110797.00,108374.00,108992.00,97487.00,95252.00,96168.00,95901.00,100683.00,103993.00,103294.00,103822.00
"..REGION XII (SOCCSKSARGEN)","Area Applied",298662.00,300652.35,297575.77,309899.00,320862.00,335798.00,341784.00,325895.00,341330.00,345422.00,329909.45,313033.19
"..REGION XII (SOCCSKSARGEN)","Average Quantity Applied",3.36,3.20,3.53,3.44,3.81,2.92,3.22,3.29,3.12,3.44,3.66,3.72
"..REGION XII (SOCCSKSARGEN)","Urea",1.97,1.87,2.06,1.90,1.87,1.48,1.73,1.83,1.61,1.69,1.83,1.89
"..REGION XII (SOCCSKSARGEN)","Ammosul",0.26,0.31,0.33,0.37,0.59,0.52,0.52,0.58,0.60,0.75,0.60,0.69
"..REGION XII (SOCCSKSARGEN)","Ammophos",0.20,0.19,0.23,0.36,0.33,0.14,0.27,0.20,0.28,0.26,0.33,0.25
"..REGION XII (SOCCSKSARGEN)","Complete",0.92,0.78,0.85,0.71,0.89,0.68,0.71,0.68,0.64,0.74,0.89,0.89
"..REGION XII (SOCCSKSARGEN)","Others",0.01,0.05,0.06,0.10,0.13,0.10,..,..,..,..,..,..
"..REGION XII (SOCCSKSARGEN)","Area Harvested",306243.00,325102.00,310865.00,319878.00,328341.00,346403.00,349668.00,329817.00,343620.00,345985.00,350346.00,346906.00
"..REGION XII (CARAGA)","Area Applied",94952.00,101347.89,103856.17,107138.50,115098.00,134721.00,122681.00,123906.00,140634.00,153920.00,173208.30,130705.42
"..REGION XII (CARAGA)","Average Quantity Applied",3.73,3.52,3.60,3.87,3.46,3.77,2.46,3.02,2.95,2.98,3.07,3.32
"..REGION XII (CARAGA)","Urea",0.94,0.76,0.61,0.86,0.79,0.90,0.56,0.83,0.75,0.78,0.86,0.94
"..REGION XII (CARAGA)","Ammosul",0.95,1.03,1.14,1.21,0.99,0.86,1.01,1.07,1.17,1.21,1.15,1.15
"..REGION XII (CARAGA)","Ammophos",0.12,0.07,0.06,0.10,0.06,0.20,0.07,0.09,0.16,0.15,0.11,0.09
"..REGION XII (CARAGA)","Complete",1.59,1.60,1.59,1.57,1.40,1.04,0.82,1.03,0.87,0.84,0.94,1.14
"..REGION XII (CARAGA)","Others",0.13,0.06,0.20,0.14,0.22,0.78,..,..,..,..,..,..
"..REGION XII (CARAGA)","Area Harvested",113921.00,115348.00,116766.00,126058.00,133444.00,138259.00,137173.00,130867.00,141852.00,155041.00,176559.00,174170.00
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Area Applied",113636.00,118861.60,157493.02,84953.58,124583.00,189175.00,204760.00,..,199176.00,187070.30,151324.04,85889.93
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Average Quantity Applied",5.27,4.44,3.77,3.01,3.93,3.03,1.87,..,1.79,1.84,1.68,2.39
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Urea",2.00,1.88,1.46,1.46,1.63,2.12,0.50,..,0.46,0.66,0.67,1.31
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Ammosul",1.21,0.79,0.65,0.21,0.31,0.09,0.48,..,0.40,0.32,0.14,0.05
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Ammophos",0.95,0.45,0.75,0.51,0.13,0.08,0.42,..,0.48,0.33,0.22,..
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Complete",0.90,1.22,0.90,0.82,1.84,0.75,0.47,..,0.44,0.53,0.65,1.03
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Others",0.21,0.10,..,..,0.01,..,..,..,..,..,..,..
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Area Harvested",171532.00,186145.00,199735.00,196511.00,199359.00,200504.00,204760.00,207632.00,199524.00,202801.00,226700.00,217422.00
